CountryName,CountryID,Latitude,Longitude,CountryCode,IndicatorName,IndicatorCode,y1960,y1961,y1962,y1963,y1964,y1965,y1966,y1967,y1968,y1969,y1970,y1971,y1972,y1973,y1974,y1975,y1976,y1977,y1978,y1979,y1980,y1981,y1982,y1983,y1984,y1985,y1986,y1987,y1988,y1989,y1990,y1991,y1992,y1993,y1994,y1995,y1996,y1997,y1998,y1999,y2000,y2001,y2002,y2003,y2004,y2005,y2006,y2007,y2008,y2009,y2010,y2011,p1960,p1961,p1962,p1963,p1964,p1965,p1966,p1967,p1968,p1969,p1970,p1971,p1972,p1973,p1974,p1975,p1976,p1977,p1978,p1979,p1980,p1981,p1982,p1983,p1984,p1985,p1986,p1987,p1988,p1989,p1990,p1991,p1992,p1993,p1994,p1995,p1996,p1997,p1998,p1999,p2000,p2001,p2002,p2003,p2004,p2005,p2006,p2007,p2008,p2009,p2010,p2011,g1960,g1961,g1962,g1963,g1964,g1965,g1966,g1967,g1968,g1969,g1970,g1971,g1972,g1973,g1974,g1975,g1976,g1977,g1978,g1979,g1980,g1981,g1982,g1983,g1984,g1985,g1986,g1987,g1988,g1989,g1990,g1991,g1992,g1993,g1994,g1995,g1996,g1997,g1998,g1999,g2000,g2001,g2002,g2003,g2004,g2005,g2006,g2007,g2008,g2009,g2010,g2011,g2012,g2013,g2014
China,156,35,105,CHN,CO2 emissions (kt),EN.ATM.CO2E.KT,780726.302,552066.85,440359.029,436695.696,436923.05,475972.933,522789.522,433234.048,468928.626,577237.138,771617.474,876633.02,931575.681,968542.708,988014.478,1145607.47,1196193.735,1310310.775,1462168.579,1494859.884,1467192.369,1451501.276,1580260.647,1667029.201,1814908.31,1966553.428,2068969.071,2209708.531,2369501.723,2408540.605,2460744.017,2584538.27,2695982.067,2878694.009,3058241.33,3320285.15,3463089.131,3469510.048,3324344.519,3318055.614,3405179.867,3487566.356,3694242.143,4525177.009,5288166.032,5790016.984,6414463.08,6791804.714,7035443.861,7692210.895,8256969.232,9019518.215,1.170381372,0.836046901,0.661428164,0.640001899,0.625646054,0.665524211,0.710891382,0.574162147,0.605451997,0.725149509,0.942934535,1.042239697,1.080676637,1.098195691,1.097367111,1.250124095,1.285283136,1.388842897,1.52920111,1.542675099,1.495250749,1.460431817,1.566739684,1.629055908,1.75044806,1.871054791,1.939434257,2.038410689,2.150905225,2.153077911,2.167703077,2.245901276,2.31420729,2.442800659,2.565993892,2.755754966,2.844309582,2.820567891,2.67674598,2.648649247,2.696862433,2.742120813,2.885225041,3.512245428,4.080138906,4.441150695,4.892727098,5.153564017,5.311151855,5.778143184,6.172488876,6.710301991,59184116489,49557050183,46685178504,50097303271,59062254890,69709153115,75879434776,72057028560,69993497892,78718820478,91506211306,98562023844,1.1216E+11,1.3677E+11,1.42255E+11,1.61162E+11,1.51628E+11,1.72349E+11,1.48382E+11,1.76857E+11,1.8965E+11,1.94369E+11,2.0355E+11,2.2895E+11,2.58082E+11,3.0748E+11,2.98806E+11,2.7135E+11,3.10722E+11,3.45957E+11,3.58973E+11,3.81455E+11,4.24934E+11,4.42875E+11,5.62261E+11,7.32032E+11,8.60844E+11,9.58159E+11,1.02528E+12,1.08945E+12,1.20526E+12,1.33223E+12,1.46191E+12,1.64993E+12,1.94175E+12,2.2686E+12,2.72978E+12,3.52309E+12,4.55843E+12,5.05942E+12,6.03966E+12,7.49243E+12,8.46162E+12,9.4906E+12,1.03548E+13
United States,840,38,-97,USA,CO2 emissions (kt),EN.ATM.CO2E.KT,2890696.1,2880505.507,2987207.873,3119230.874,3255995.306,3390922.571,3561878.111,3695708.943,3831354.94,4024748.853,4328904.501,4356770.034,4564952.958,4770194.948,4598487.673,4406329.539,4613100.668,4742292.745,4890861.25,4901796.244,4723209.677,4535800.308,4306748.487,4341878.347,4475192.132,4492555.377,4495463.308,4688373.177,4892526.068,4955081.421,4823557.132,4822383.692,4911103.09,5032931.831,5098475.789,5138009.716,5260696.535,5375235.28,5410918.857,5510430.236,5701829.301,5601404.839,5648727.474,5679222.246,5763456.903,5795161.785,5703871.82,5794923.43,5622464.42,5274132.423,5408869.004,5305569.614,15.99977916,15.68125552,16.0139375,16.48276215,16.96811858,17.45172525,18.12107301,18.59831788,19.08938916,19.85794566,21.11125227,20.98020348,21.74864198,22.51058213,21.50293038,20.40222407,21.15761537,21.53248401,21.97300469,21.78043698,20.78648774,19.76676417,18.59049523,18.57154371,18.97675027,18.88231274,18.72072272,19.35033442,20.01041341,20.07576978,19.32336817,19.06223666,19.14555576,19.36346258,19.37655644,19.29565986,19.52789051,19.71427574,19.6151546,19.74781478,20.20761476,19.65619321,19.63919577,19.57623905,19.68358135,19.61027504,19.11613882,19.23746045,18.48923375,17.1923791,17.48479218,17.02021634,5.433E+11,5.633E+11,6.051E+11,6.386E+11,6.858E+11,7.437E+11,8.15E+11,8.617E+11,9.425E+11,1.0199E+12,1.07588E+12,1.16777E+12,1.28245E+12,1.42855E+12,1.54883E+12,1.68892E+12,1.87759E+12,2.08595E+12,2.35657E+12,2.63214E+12,2.86251E+12,3.21096E+12,3.34499E+12,3.63814E+12,4.04069E+12,4.34673E+12,4.59016E+12,4.87022E+12,5.25263E+12,5.65769E+12,5.97959E+12,6.17404E+12,6.5393E+12,6.87872E+12,7.30876E+12,7.66406E+12,8.1002E+12,8.60852E+12,9.08917E+12,9.66062E+12,1.02848E+13,1.06218E+13,1.09775E+13,1.15107E+13,1.22749E+13,1.30937E+13,1.38559E+13,1.44776E+13,1.47186E+13,1.44187E+13,1.49644E+13,1.55179E+13,1.61632E+13,1.67681E+13,1.7419E+13
Aruba,533,12.5,-70,ABW,CO2 emissions (kt),EN.ATM.CO2E.KT,,,,,,,,,,,,,,,,,,,,,,,,,,,179.683,447.374,612.389,649.059,1840.834,1928.842,1723.49,1771.161,1763.827,1782.162,1800.497,1837.167,1712.489,1749.159,2321.211,2357.881,2372.549,2416.553,2420.22,2497.227,2497.227,2592.569,2508.228,2522.896,2456.89,2438.555,,,,,,,,,,,,,,,,,,,,,,,,,,,2.868319392,7.234964017,10.02650752,10.6347326,29.62016477,29.84760844,25.25815197,24.43048084,22.99644068,22.18661455,21.64188954,21.50066123,19.62153398,19.65258865,25.5476788,25.38248972,24.9755145,24.90906561,24.51054263,24.964531,24.76670634,25.61371495,24.75013321,24.87670585,24.18270225,23.9224121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1330167598,1320670391,1379888268,1531843575,1665363128,1722798883,1873452514,1920262570,1941094972,2021301676,2228279330,2331005587,2421474860,2623726257,2791960894,2498932961,2467703911,2584463687,,,
Andorra,20,42.5,1.6,AND,CO2 emissions (kt),EN.ATM.CO2E.KT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,407.037,425.372,458.375,484.044,513.38,524.381,524.381,531.715,535.382,564.718,575.719,546.383,539.049,539.049,517.047,517.047,491.378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.374494942,6.616353766,7.145696603,7.576446281,8.001433893,8.018180706,7.73765678,7.484094812,7.159140446,7.208828523,7.088127747,6.553476545,6.350868305,6.296124556,6.049172848,6.12477049,5.96868547,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,4,33.9,67.7,AFG,CO2 emissions (kt),EN.ATM.CO2E.KT,414.371,491.378,689.396,707.731,839.743,1008.425,1092.766,1283.45,1224.778,942.419,1672.152,1895.839,1532.806,1639.149,1917.841,2126.86,1987.514,2390.884,2159.863,2240.537,1760.16,1983.847,2101.191,2522.896,2830.924,3509.319,3142.619,3124.284,2867.594,2775.919,2676.91,2493.56,1426.463,1375.125,1320.12,1268.782,1199.109,1114.768,1056.096,832.409,781.071,645.392,894.748,1037.761,957.087,1338.455,1657.484,2280.874,4217.05,6776.616,8470.77,12251.447,0.046067875,0.053614943,0.073781338,0.074251368,0.086316543,0.101498607,0.10767397,0.123782381,0.115547383,0.086862817,0.150358548,0.166114846,0.130820142,0.136339954,0.155725123,0.169027082,0.154895026,0.183118308,0.163346971,0.168673488,0.133230271,0.152639744,0.165879122,0.205462699,0.237642948,0.301734199,0.274729698,0.275560305,0.252079156,0.239131208,0.221826764,0.194971232,0.103775745,0.092761103,0.083183538,0.075646465,0.06859185,0.061814349,0.057050868,0.043722588,0.03964437,0.031434756,0.041641211,0.046107612,0.040727366,0.05485483,0.065815968,0.088141054,0.158961558,0.24907353,0.302936388,0.425262105,537777811.9,548888894.6,546666678,751111190.8,800000045.5,1006666638,1399999966,1673333419,1373333367,1408888923,1748886596,1831108972,1595555476,1733333265,2155555499,2366666615,2555555567,2953333419,3300000108,3697940345,3641723447,3478787910,,,,,,,,,,,,,,,,,,,,2461666315,4128818042,4583648922,5285461999,6275076016,7057598407,9843842455,10190529882,12486943506,15936800636,17930239400,20536542737,20458939155,20038215159
Angola,24,-12.5,18.5,AGO,CO2 emissions (kt),EN.ATM.CO2E.KT,550.05,454.708,1180.774,1151.438,1224.778,1188.108,1554.808,993.757,1672.152,2786.92,3582.659,3410.31,4506.743,4880.777,4873.443,4415.068,3285.632,3534.988,5412.492,5504.167,5346.486,5280.48,4649.756,5115.465,5009.122,4701.094,4660.757,5815.862,5130.133,5009.122,4429.736,4367.397,4418.735,5801.194,3890.687,11012.001,10491.287,7381.671,7308.331,9156.499,9541.534,9732.218,12665.818,9064.824,18793.375,19156.408,22266.024,25151.953,27172.47,29361.669,29743.037,29710.034,0.104357101,0.084718406,0.216025343,0.206877061,0.216174133,0.206088959,0.265164146,0.166658589,0.275655471,0.451125604,0.568588577,0.529744961,0.684120294,0.723055043,0.703873436,0.621198891,0.450116912,0.471248794,0.701359921,0.692097154,0.651061684,0.621382804,0.527930763,0.560374447,0.530351031,0.482400531,0.464973712,0.565431153,0.486503528,0.462907837,0.398075822,0.380694834,0.372921412,0.473691138,0.307601078,0.844305988,0.781484777,0.5348313,0.515117027,0.627072296,0.633625299,0.625351712,0.786223278,0.543083667,1.086604897,1.069417185,1.200877147,1.311096483,1.369424769,1.430873373,1.401654169,1.35400753,,,,,,,,,,,,,,,,,,,,,,,,,,6684491979,6684491979,6684491979,6684491979,10026737968,10026737968,12118610904,5684291719,5278182971,3101000000,5060000000,7526963964,7649716157,6445427699,6152936539,9129634978,8936063723,15285594828,17812704825,23552047248,36970918699,52381006892,65266452081,88538611205,73157893410,83369475451,1.10891E+11,1.25492E+11,1.38357E+11,
Albania,8,41,20,ALB,CO2 emissions (kt),EN.ATM.CO2E.KT,2024.184,2280.874,2464.224,2082.856,2016.85,2174.531,2552.232,2680.577,3072.946,3245.295,3744.007,4352.729,5643.513,5291.481,4345.395,4594.751,4950.45,5720.52,6494.257,7587.023,5170.47,7341.334,7308.331,7631.027,7825.378,7880.383,8056.399,7444.01,7326.666,8984.15,7488.014,3971.361,2387.217,2343.213,1928.842,2086.523,2016.85,1543.807,1752.826,2984.938,3021.608,3223.293,3751.341,4294.057,4165.712,4253.72,3865.018,4477.407,4657.09,4488.408,4415.068,4668.091,1.258194928,1.374186047,1.439955964,1.181681144,1.11174196,1.166099043,1.333055465,1.3637463,1.519551277,1.558967572,1.753239905,1.989497923,2.515914398,2.303897417,1.849006691,1.910633637,2.013584562,2.275876391,2.53062504,2.898208518,1.93505831,2.693023914,2.624856785,2.683239919,2.694291374,2.658015382,2.665356221,2.414060815,2.331598531,2.783243075,2.278386827,1.215676857,0.73519813,0.726062789,0.601346953,0.654537133,0.636625313,0.49036506,0.560271437,0.960164412,0.978174681,1.053304176,1.229540709,1.412697196,1.376212735,1.412498211,1.291547969,1.507535815,1.580113283,1.533178094,1.515632053,1.60703771,,,,,,,,,,,,,,,,,,,,,,,,,1924242453,1965384586,2173750013,2156624900,2126000000,2335124988,2101624963,1139166646,709452583.9,1228071038,1985673798,2424499009,3314898291,2359903108,2707123772,3414760915,3632043908,4060758804,4435078648,5746945913,7314865176,8158548717,8992642349,10701011896,12881352688,12044212904,11926953259,12890867538,12319784787,12781029643,13211513726
United Arab Emirates,784,23.4,53.8,ARE,CO2 emissions (kt),EN.ATM.CO2E.KT,11.001,11.001,18.335,22.002,18.335,22.002,25.669,916.75,1243.113,20524.199,15247.386,21184.259,23454.132,30630.451,31327.181,31070.491,39651.271,38785.859,44814.407,36607.661,36904.688,36857.017,36871.685,35342.546,46394.884,49926.205,47234.627,47693.002,48367.73,54487.953,52009.061,57010.849,58136.618,65980.331,73130.981,70641.088,41059.399,41646.119,81495.408,78374.791,112562.232,101414.552,84704.033,106841.712,113240.627,116148.558,123874.927,139404.672,158935.114,162602.114,167596.568,178483.891,0.118785902,0.108936971,0.16335531,0.175712369,0.132650846,0.146369696,0.159358568,5.336736892,6.708216413,99.84043878,64.76288896,76.98887556,72.37388334,80.01204473,69.31589696,58.48397881,63.74279762,53.65693112,54.16332122,39.47756127,36.29532578,33.7176354,31.82772295,29.011557,36.23813266,36.97051612,33.01855443,31.39781737,29.96939719,31.8249004,28.71116029,29.79884329,28.79455913,31.00779092,32.67283286,30.05758168,16.63855671,16.04724031,29.81063074,27.17395364,36.90410107,31.51609903,24.95655145,29.4670889,28.48143699,25.91458723,23.95451916,23.19506697,23.03360047,21.10229562,20.12095728,20.43383762,,,,,,,,,,,,,,,,14720672892,19213022856,24871774866,23775831263,31225462774,43598747467,49333424084,46622718557,42803323301,41807954192,40603650189,33943612060,36384908706,36275674166,41464995871,50701443696,51552165622,54239171888,55625170253,59305093980,65743666576,73571233996,78839008445,75674336283,84445473111,1.04337E+11,1.03312E+11,1.09816E+11,1.24346E+11,1.47824E+11,1.80617E+11,2.22106E+11,2.57916E+11,3.15475E+11,2.53547E+11,2.86049E+11,3.48526E+11,3.7343E+11,3.87192E+11,3.99451E+11
Argentina,32,-38.4,-63.6,ARG,CO2 emissions (kt),EN.ATM.CO2E.KT,48815.104,51180.319,53695.881,50083.886,55727.399,58866.351,63138.406,65543.958,69082.613,77329.696,82734.854,88939.418,90156.862,94065.884,95569.354,94931.296,99786.404,100791.162,102639.33,110703.063,108737.551,102041.609,103424.068,105213.564,106522.683,100596.811,104212.473,114942.115,121473.042,117090.977,112613.57,117021.304,121447.373,118609.115,123350.546,122547.473,129217.746,134677.909,137673.848,145488.225,141076.824,132631.723,123266.205,133126.768,156170.196,160951.964,174237.505,179738.005,191578.748,180654.755,179000.938,190034.941,2.367473032,2.442615665,2.522392105,2.316355797,2.53837965,2.641714463,2.792653923,2.858162546,2.969855218,3.275850301,3.451159222,3.650078169,3.637858366,3.730791118,3.726699112,3.641822498,3.768773931,3.749871115,3.762750231,3.998733697,3.86885293,3.574967612,3.567086543,3.572041973,3.560142178,3.310327288,3.377245218,3.669168725,3.820445808,3.629202129,3.440710803,3.525383685,3.608582241,3.477160476,3.569365678,3.501874849,3.648190358,3.758387022,3.79878183,3.969875863,3.806975725,3.539532688,3.253312671,3.47503504,4.032407013,4.111634824,4.404525042,4.496833655,4.744178401,4.427960113,4.342272052,4.562048512,,,24450604878,18272123664,25605249382,28344705967,28630474728,24256667553,26436857248,31256284544,31584210366,33293199095,34733000536,52544000117,72436777342,52438647922,51169499891,56781000101,58082870156,69252328953,76961923742,78676842366,84307486837,1.03979E+11,79092001998,88416668900,1.10934E+11,1.11106E+11,1.26207E+11,76636898036,1.41352E+11,1.8972E+11,2.28789E+11,2.36742E+11,2.5744E+11,2.58032E+11,2.7215E+11,2.92859E+11,2.98948E+11,2.83523E+11,2.84204E+11,2.68697E+11,97724513456,1.27586E+11,1.81873E+11,2.20814E+11,2.62667E+11,3.29318E+11,4.03782E+11,3.76628E+11,4.6164E+11,5.5789E+11,6.04378E+11,6.14384E+11,5.3766E+11
Armenia,51,40.1,45,ARM,CO2 emissions (kt),EN.ATM.CO2E.KT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4052.035,2896.93,2966.603,3490.984,2607.237,3278.298,3406.643,3058.278,3465.315,3542.322,3043.61,3428.645,3644.998,4352.729,4382.065,5064.127,5559.172,4360.063,4217.05,4961.451,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.174674163,0.859706565,0.901718662,1.083089242,0.821584566,1.044825239,1.094342744,0.988511937,1.126529454,1.15760795,0.998805808,1.1291735,1.20456698,1.443730955,1.459636908,1.694755259,1.868611029,1.469960972,1.422998378,1.671656923,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2256838858,2068526522,1272577522,1201313196,1315158670,1468317350,1596968913,1639492424,1893726437,1845482181,1911563665,2118467913,2376335048,2807061009,3576615240,4900469515,6384451606,9206301700,11662040714,8647936748,9260284938,10142111335,10619320049,11121465767,11644438423
American Samoa,16,-14.3333,-170,ASM,CO2 emissions (kt),EN.ATM.CO2E.KT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,28,17.1,-61.8,ATG,CO2 emissions (kt),EN.ATM.CO2E.KT,36.67,47.671,102.676,84.341,91.675,150.347,348.365,564.718,990.09,1257.781,462.042,425.372,374.034,330.03,429.039,707.731,403.37,465.709,491.378,407.037,143.013,106.343,293.36,84.341,146.68,249.356,249.356,275.025,286.026,286.026,300.694,289.693,289.693,304.361,311.695,322.696,322.696,337.364,333.697,348.365,344.698,344.698,363.033,388.702,407.037,410.704,425.372,469.376,480.377,509.713,524.381,513.38,0.67061685,0.86044077,1.823373764,1.47017501,1.567094017,2.520359412,5.727991713,9.10806103,15.67193238,19.55900602,7.068212761,6.412192107,5.565568038,4.855381628,6.249202534,10.21949952,5.780430484,6.631858508,6.969109888,5.769237311,2.034295387,1.524630824,4.254677302,1.24107537,2.193739437,3.792832806,3.859701262,4.332193939,4.57363523,4.615779366,4.85726747,4.641623406,4.566841126,4.692005303,4.683621337,4.721298044,4.593864332,4.670561524,4.49690052,4.581278521,4.439238615,4.364812845,4.536211421,4.804484327,4.980995619,4.974311149,5.096289552,5.561524699,5.628318688,5.906292005,6.011268671,5.823804338,,,,,,,,,,,,,,,,,,66144443.28,74855554.23,92240739.11,110066664.7,124462960.8,137951849.4,153270367.7,173511108.1,201862959.4,245896292,286474069,338696290.3,373403697.1,391570363.5,410388888.9,423762963,456537037,500088888.9,494185185.2,541074074.1,579851851.9,620037037,651851851.9,783837851.9,773765185.2,802529333.3,839996370.4,898356148.2,997374111.1,1135143593,1289254333,1347349852,1206410370,1135539037,1129918370,1204713111,1200587519,1220976011
Australia,36,-25.3,133.8,AUS,CO2 emissions (kt),EN.ATM.CO2E.KT,88202.351,90589.568,94912.961,101029.517,108979.573,120966.996,120332.605,129265.417,134622.904,142257.598,147618.752,152774.554,157486.649,170992.21,172356.334,175883.988,174244.839,187787.07,202015.03,205069.641,220746.066,230360.94,234119.615,225003.453,236594.84,241229.928,239964.813,256106.947,261145.405,277771.583,263847.984,261574.444,268068.701,277478.223,278204.289,281940.962,302241.474,305838.801,316964.479,325380.244,329479.95,324877.865,341390.366,336355.575,342776.492,350268.173,357946.871,363795.736,376197.53,382464.433,368170.467,369039.546,8.582936643,8.641569017,8.835688047,9.226439909,9.759073431,10.62232139,10.32809244,10.9556248,11.21016771,11.60055435,11.80289054,11.80911757,11.95163155,12.77968685,12.55966873,12.65989981,12.41679178,13.23189614,14.06985862,14.12909198,15.02491601,15.43250084,15.42493181,14.64008413,15.2209753,15.3084102,14.98057315,15.7469578,15.79616778,16.51986292,15.46126211,15.13390673,15.32258937,15.70601817,15.58130994,15.60098285,16.5060059,16.51664962,16.94000743,17.19223523,17.20252441,16.73506748,17.3723178,16.90619817,17.03034133,17.17438627,17.29387382,17.46700225,17.70407968,17.63183305,16.71090435,16.51920992,18567588756,19639377310,19883525591,21497368126,23754059805,25925635569,27250531974,30378541830,32641953186,36606562885,41245380222,45119274275,51928738318,63688661115,88775239499,97081797078,1.04815E+11,1.10097E+11,1.18218E+11,1.34585E+11,1.49655E+11,1.76527E+11,1.93651E+11,1.76899E+11,1.93198E+11,1.80183E+11,1.81989E+11,1.89077E+11,2.35771E+11,2.9948E+11,3.10955E+11,3.25575E+11,3.25253E+11,3.11951E+11,3.22805E+11,3.67949E+11,4.01335E+11,4.35571E+11,3.99294E+11,3.88672E+11,4.14952E+11,3.78459E+11,3.94196E+11,4.66348E+11,6.12695E+11,6.93075E+11,7.46881E+11,8.53053E+11,1.05456E+12,9.26564E+11,1.14225E+12,1.38992E+12,1.53748E+12,1.56395E+12,1.45468E+12
Austria,40,47.5,14.6,AUT,CO2 emissions (kt),EN.ATM.CO2E.KT,30821.135,31862.563,33905.082,36992.696,38943.54,38188.138,39258.902,39966.633,42350.183,44693.396,50692.608,52155.741,56193.108,60164.469,57469.224,54392.611,58415.31,56218.777,57483.892,61594.599,52306.088,56130.769,53868.23,51983.392,54550.292,54700.639,54080.916,57744.249,53340.182,54117.586,57722.247,61638.603,56688.153,57135.527,57095.19,59827.105,63226.414,62705.7,63717.792,61917.295,62188.653,65785.98,66977.755,72074.885,72272.903,74278.752,72214.231,69724.338,68752.583,63483.104,67975.179,65202.927,4.373318828,4.496361641,4.755361673,5.155193747,5.391003988,5.252196533,5.361724683,5.417736727,5.711110104,6.006325178,6.788807307,6.953651912,7.448516814,7.930866985,7.562697278,7.176844855,7.721250012,7.428063284,7.601371804,8.158846402,6.928479,7.416160614,7.112124941,6.874373273,7.214278667,7.230766353,7.144304852,7.623419815,7.032030698,7.102448997,7.518022233,7.94835195,7.229977927,7.227191928,7.194347413,7.527052401,7.943997858,7.869650771,7.987899893,7.747095213,7.762359194,8.180002892,8.287318901,8.874662113,8.844004368,9.027746201,8.733506631,8.405092793,8.262046031,7.608851293,8.127692863,7.769983423,6592693841,7311749633,7756110210,8374175258,9169983886,9994070616,10887682273,11579431669,12440625313,13582798556,15335972268,17815464919,22006470861,29444365310,35104529078,39962704274,42856485618,51421585630,61902774946,73759181884,81861232823,70863106877,71103585384,71947277233,67821568599,69219621907,98797587382,1.23869E+11,1.33018E+11,1.32785E+11,1.66062E+11,1.73376E+11,1.94608E+11,1.89921E+11,2.03045E+11,2.40458E+11,2.3672E+11,2.12323E+11,2.17684E+11,2.16725E+11,1.96422E+11,1.96954E+11,2.12971E+11,2.60721E+11,2.99857E+11,3.14649E+11,3.34309E+11,3.86459E+11,4.27612E+11,3.97594E+11,3.90235E+11,4.29011E+11,4.07373E+11,4.28699E+11,4.36888E+11
Azerbaijan,31,40.1,47.6,AZE,CO2 emissions (kt),EN.ATM.CO2E.KT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57678.243,49365.154,42672.879,33479.71,31510.531,29809.043,31675.546,28576.931,29508.349,28771.282,29614.692,30615.783,32089.917,34337.788,39167.227,30509.44,35503.894,31902.9,30678.122,33457.708,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.813362639,6.586411474,5.617069764,4.356500976,4.059066212,3.803022741,4.00297561,3.579835395,3.666271029,3.547105484,3.623944346,3.718169927,3.863229639,4.091801927,4.616299863,3.5553401,4.051383481,3.565668218,3.388225879,3.647379147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8858006036,8792365811,4991350458,3973027397,3313739674,3052467522,3176749593,3962710163,4446396218,4581222442,5272617196,5707618247,6236024951,7275766111,8680511918,13245421881,20983019924,33050343783,48852482960,44291490421,52902703376,65951627200,68730906314,73560484385,75198010965
Burundi,108,-3.5,30,BDI,CO2 emissions (kt),EN.ATM.CO2E.KT,,,44.004,47.671,47.671,36.67,47.671,47.671,55.005,73.34,62.339,73.34,73.34,73.34,91.675,77.007,88.008,99.009,102.676,110.01,146.68,157.681,157.681,205.352,220.02,231.021,242.022,267.691,256.69,300.694,293.36,337.364,308.028,326.363,333.697,322.696,319.029,304.361,293.36,286.026,289.693,205.352,212.686,161.348,198.018,154.014,187.017,187.017,190.684,190.684,194.351,209.019,,,0.015202573,0.016154716,0.015827251,0.011909579,0.015115038,0.014735443,0.016581181,0.021615415,0.018032098,0.020908925,0.020674675,0.020469155,0.02529766,0.020942939,0.023502041,0.025881431,0.026207124,0.027372978,0.035545483,0.037191783,0.036172651,0.045769938,0.047575832,0.048388881,0.049027749,0.052400265,0.048577138,0.055127945,0.052263073,0.058575946,0.052251256,0.054214014,0.054400843,0.051722143,0.05037235,0.047405324,0.045049693,0.043182164,0.042809203,0.029561001,0.029705089,0.021800204,0.025845471,0.019411377,0.022756803,0.02196433,0.021615102,0.020867637,0.020542078,0.021349926,195999990,202999992,213500006,232749998,260750008,158994963,165444571.4,178297142.9,183200000,190205714.3,242732571.4,252842285.7,246804571.4,304339839.6,345263492.1,420986666.7,448412753.6,547535555.6,610225555.6,782496666.7,919726666.7,969046666.7,1013222222,1082926304,987143931.2,1149979286,1201725497,1131466494,1082403219,1113924130,1132101253,1167398478,1083037671,938632612,925030590.2,1000428394,869033856.3,972896267.9,893770806.1,808077223.4,870486065.9,876794723.1,825394490.2,784654423.6,915257323.4,1117257279,1273180597,1356078278,1611634332,1739781489,2026864469,2355652126,2472384907,2714505635,3093647227
Belgium,56,50.5,4.47,BEL,CO2 emissions (kt),EN.ATM.CO2E.KT,91000.272,92793.435,98117.919,105781.949,103662.423,105440.918,105206.23,107472.436,118557.777,123618.237,125620.419,121528.047,130834.893,138872.957,135220.625,122100.099,130009.818,126570.172,135855.016,140233.414,135301.299,124021.607,117553.019,101630.905,105422.583,104472.83,102874.018,103116.04,100354.789,107461.435,106049.64,110959.753,111968.178,107652.119,112334.878,112327.544,118059.065,115341.818,118374.427,115085.128,114894.444,114315.058,107098.402,114564.414,110908.415,108297.511,106775.706,103215.049,103882.443,104021.789,109093.25,97765.887,9.941594074,10.10387199,10.64118963,11.38692874,11.05365472,11.14165555,11.04201943,11.21725675,12.32568713,12.81544961,13.01017881,12.56342518,13.47269526,14.2554864,13.83696555,12.4583039,13.24167979,12.87543872,13.80705794,14.23923382,13.72329627,12.57955507,11.92668478,10.31207942,10.69696639,10.59744025,10.43154171,10.44717278,10.13514385,10.81351494,10.63967167,11.09099988,11.14648251,10.67503455,11.1051094,11.08115205,11.62383425,11.32885202,11.60191455,11.25370748,11.20784724,11.11303943,10.36491149,11.04114741,10.64264053,10.33509584,10.12287933,9.71371759,9.699598963,9.634775755,10.01260969,8.849398302,11658722591,12400145222,13264015675,14260017387,15960106681,17371457608,18651883472,19992040788,21376353113,23710735895,26849173618,29981318395,37408626615,47999408508,56333063691,66029811341,71494607106,83283407091,1.01789E+11,1.16938E+11,1.27508E+11,1.05291E+11,92588982518,87650998817,83795759983,86730120728,1.20661E+11,1.50194E+11,1.63168E+11,1.651E+11,2.06431E+11,2.11638E+11,2.36039E+11,2.25925E+11,2.46195E+11,2.89568E+11,2.81358E+11,2.54814E+11,2.60602E+11,2.60202E+11,2.37905E+11,2.37842E+11,2.5886E+11,3.19003E+11,3.70885E+11,3.87366E+11,4.09813E+11,4.71822E+11,5.18626E+11,4.84553E+11,4.83577E+11,5.26975E+11,4.9778E+11,5.21402E+11,5.31547E+11
